name,email,phone,longitude,latitude,closest_town,ISO_code,plant_name,plant_scientific_name,plant_image_url,temperature,soil_moisture,recording_taken,last_watered
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,49.68369,8.61839,Bensheim,DE,Canna ‘Striata’,None,None,9.58531685133476,73.57176266361137,2024-11-25 21:37:20,"Mon, 25 Nov 2024 13:36:47 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,29.65163,-82.32483,Gainesville,US,Colocasia Esculenta,Colocasia esculenta,https://perenual.com/storage/species_image/2015_colocasia_esculenta/og/24325097844_14719030a3_b.jpg,13.19747590807245,75.19552080620885,2024-11-25 21:37:21,"Mon, 25 Nov 2024 14:17:54 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,36.08497,9.37082,Siliana,TN,Cuphea ‘David Verity’,None,None,10.013867054507335,72.24394975098039,2024-11-25 21:37:22,"Mon, 25 Nov 2024 13:45:31 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,40.93121,-73.89875,Yonkers,US,Euphorbia Cotinifolia,Euphorbia cotinifolia,https://perenual.com/storage/species_image/2868_euphorbia_cotinifolia/og/51952243235_061102bd05_b.jpg,13.320302858232253,59.995979031428575,2024-11-25 21:37:22,"Mon, 25 Nov 2024 13:50:40 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,-7.51611,109.05389,Wangon,ID,Ipomoea Batatas,Ipomoea batatas,https://perenual.com/storage/image/upgrade_access.jpg,9.822877347853698,73.53665464112512,2024-11-25 21:37:23,"Mon, 25 Nov 2024 14:02:40 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,51.30001,13.10984,Oschatz,DE,Manihot Esculenta ‘Variegata’,None,None,9.094379780031849,75.08230201067961,2024-11-25 21:37:24,"Mon, 25 Nov 2024 14:29:39 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,-21.44236,27.46153,Tonota,BW,Musa Basjoo,Musa basjoo,https://perenual.com/storage/image/upgrade_access.jpg,13.884252931937924,72.43651387604847,2024-11-25 21:37:25,"Mon, 25 Nov 2024 13:24:30 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,41.15612,1.10687,Reus,ES,Salvia Splendens,Salvia splendens,https://perenual.com/storage/image/upgrade_access.jpg,8.654402769888861,76.07751320234604,2024-11-25 21:37:26,"Mon, 25 Nov 2024 14:49:34 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,-29.2975,-51.50361,Carlos Barbosa,BR,Anthurium,Anthurium andraeanum,https://perenual.com/storage/species_image/855_anthurium_andraeanum/og/49388458462_0ef650db39_b.jpg,11.060813833387776,75.30033843304844,2024-11-25 21:37:27,"Mon, 25 Nov 2024 14:23:59 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,48.35693,10.98461,Friedberg,DE,Bird of Paradise,Heliconia schiedeana 'Fire and Ice',https://perenual.com/storage/image/upgrade_access.jpg,9.581765736688709,69.93838162865497,2024-11-25 21:37:29,"Mon, 25 Nov 2024 13:03:26 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,52.53048,13.29371,Charlottenburg-Nord,DE,Cordyline Fruticosa,Cordyline fruticosa,https://perenual.com/storage/species_image/2045_cordyline_fruticosa/og/2560px-Cordyline_fruticosa_Rubra_1.jpg,11.465540452005701,76.92605333109405,2024-11-25 21:37:30,"Mon, 25 Nov 2024 14:56:47 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,43.82634,144.09638,Motomachi,JP,Ficus,Ficus carica,https://perenual.com/storage/species_image/288_ficus_carica/og/52377169610_b7a247a378_b.jpg,13.08901654559597,75.31261217412936,2024-11-25 21:37:30,"Mon, 25 Nov 2024 14:44:00 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,11.8659,34.3869,Ar Ruseris,SD,Palm Trees,None,None,11.617501102556842,74.05177640622054,2024-11-25 21:37:32,"Mon, 25 Nov 2024 13:58:41 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,51.67822,33.9162,Hlukhiv,UA,Spathiphyllum,Spathiphyllum (group),https://perenual.com/storage/image/upgrade_access.jpg,10.788038438850439,77.1653563422307,2024-11-25 21:37:33,"Mon, 25 Nov 2024 14:58:20 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,43.91452,-69.96533,Brunswick,US,Croton,Codiaeum variegatum,https://perenual.com/storage/species_image/1999_codiaeum_variegatum/og/29041866364_2c535b2297_b.jpg,12.432918847434037,74.79219535464536,2024-11-25 21:37:35,"Mon, 25 Nov 2024 14:37:02 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,34.75856,136.13108,Ueno-ebisumachi,JP,Aloe Vera,Aloe vera,https://perenual.com/storage/species_image/728_aloe_vera/og/52619084582_6ebcfe6a74_b.jpg,10.891295650000412,71.58825833676333,2024-11-25 21:37:36,"Mon, 25 Nov 2024 13:11:24 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,30.75545,20.22625,Ajdabiya,LY,Ficus Elastica,Ficus elastica,https://perenual.com/storage/species_image/2961_ficus_elastica/og/533092219_8da73ba0d2_b.jpg,14.540755322388287,74.45871558195212,2024-11-25 21:37:36,"Mon, 25 Nov 2024 13:55:19 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,23.29549,113.82465,Licheng,CN,Sansevieria Trifasciata,Sansevieria trifasciata,https://perenual.com/storage/image/upgrade_access.jpg,13.394385362878861,70.46666216826924,2024-11-25 21:37:37,"Mon, 25 Nov 2024 13:05:43 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,52.47774,10.5511,Gifhorn,DE,Philodendron Hederaceum,Philodendron hederaceum,https://perenual.com/storage/image/upgrade_access.jpg,10.632704304624577,74.48788618588469,2024-11-25 21:37:39,"Mon, 25 Nov 2024 14:29:54 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,28.92694,78.23456,Bachhraon,IN,Schefflera Arboricola,Schefflera arboricola,https://perenual.com/storage/image/upgrade_access.jpg,13.594208161875413,73.68668603398058,2024-11-25 21:37:40,"Mon, 25 Nov 2024 14:05:58 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,41.15612,1.10687,Reus,ES,Aglaonema Commutatum,Aglaonema commutatum,https://perenual.com/storage/species_image/625_aglaonema_commutatum/og/24798632751_3a039ecbc6_b.jpg,13.448913638496844,72.31390800194932,2024-11-25 21:37:40,"Mon, 25 Nov 2024 13:44:15 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,-32.45242,-71.23106,La Ligua,CL,Monstera Deliciosa,Monstera deliciosa,https://perenual.com/storage/image/upgrade_access.jpg,12.985750971131779,71.2783066011846,2024-11-25 21:37:41,"Mon, 25 Nov 2024 13:32:46 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,32.54044,-82.90375,Dublin,US,Tacca Integrifolia,Tacca integrifolia,https://perenual.com/storage/image/upgrade_access.jpg,12.359778300808738,74.74914303007519,2024-11-25 21:37:41,"Mon, 25 Nov 2024 14:09:55 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,30.21121,74.4818,Malaut,IN,Psychopsis Papilio,None,None,11.11591034147642,75.20022297523809,2024-11-25 21:37:42,"Mon, 25 Nov 2024 14:23:43 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,-6.8,39.25,Magomeni,TZ,Saintpaulia Ionantha,Saintpaulia ionantha,https://perenual.com/storage/image/upgrade_access.jpg,11.101652233921955,73.67671544093024,2024-11-25 21:37:43,"Mon, 25 Nov 2024 13:46:06 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,36.24624,139.07204,Fujioka,JP,Gaillardia,Gaillardia aestivalis,https://perenual.com/storage/image/upgrade_access.jpg,13.438205529706284,73.77044640597015,2024-11-25 21:37:43,"Mon, 25 Nov 2024 14:18:23 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,44.92801,4.8951,Valence,FR,Amaryllis,Hippeastrum (group),https://perenual.com/storage/image/upgrade_access.jpg,9.13977425780298,74.92895893992606,2024-11-25 21:37:44,"Mon, 25 Nov 2024 14:05:38 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,22.4711,88.1453,Pujali,IN,Caladium Bicolor,Caladium bicolor,https://perenual.com/storage/species_image/1457_caladium_bicolor/og/25575875658_d782fb76f1_b.jpg,11.814144686470105,73.55157849813433,2024-11-25 21:37:45,"Mon, 25 Nov 2024 13:45:13 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,41.57439,24.71204,Smolyan,BG,Chlorophytum Comosum,Chlorophytum comosum 'Vittatum',https://perenual.com/storage/species_image/1847_chlorophytum_comosum_vittatum/og/2560px-Chlorophytum_comosum_27Vittatum27_kz02.jpg,9.893354759887032,76.36679383301158,2024-11-25 21:37:47,"Mon, 25 Nov 2024 14:49:43 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,20.22816,-103.5687,Zacoalco de Torres,MX,Araucaria Heterophylla,Araucaria heterophylla,https://perenual.com/storage/species_image/917_araucaria_heterophylla/og/49833684212_2aff9d7b3c_b.jpg,23.964732923755356,72.25133953574833,2024-11-25 21:37:48,"Mon, 25 Nov 2024 13:32:40 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,33.95015,-118.03917,South Whittier,US,Begonia,Begonia 'Art Hodes',None,9.061978816277325,73.68805522630561,2024-11-25 21:37:49,"Mon, 25 Nov 2024 14:04:23 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,-13.7804,34.4587,Salima,MW,Medinilla Magnifica,Medinilla magnifica,https://perenual.com/storage/image/upgrade_access.jpg,13.366055400646625,75.40393581399631,2024-11-25 21:37:50,"Mon, 25 Nov 2024 14:12:39 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,37.49223,15.07041,Catania,IT,Calliandra Haematocephala,Calliandra haematocephala,https://perenual.com/storage/species_image/1477_calliandra_haematocephala/og/52063600268_834ebc0538_b.jpg,13.368262683383364,58.210148725714284,2024-11-25 21:37:50,"Mon, 25 Nov 2024 13:30:18 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,14.14989,121.3152,Calauan,PH,Zamioculcas Zamiifolia,Zamioculcas zamiifolia,https://perenual.com/storage/image/upgrade_access.jpg,14.916834589841429,74.99794955371094,2024-11-25 21:37:51,"Mon, 25 Nov 2024 14:31:09 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,17.94979,-94.91386,Acayucan,MX,Crassula Ovata,Crassula ovata,https://perenual.com/storage/species_image/2193_crassula_ovata/og/33253726791_980c738a1e_b.jpg,9.446362661308694,73.43344972886297,2024-11-25 21:37:51,"Mon, 25 Nov 2024 14:02:15 GMT"
