name,email,phone,longitude,latitude,closest_town,ISO_code,plant_name,plant_scientific_name,plant_image_url,temperature,soil_moisture,recording_taken,last_watered
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,32.5007,-94.74049,Longview,US,Brugmansia X Candida,None,None,12.760818515124235,29.552433742632616,2024-11-26 09:09:06,"Mon, 25 Nov 2024 13:13:51 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,49.68369,8.61839,Bensheim,DE,Canna ‘Striata’,None,None,9.490845994839399,35.526774659945005,2024-11-26 09:09:07,"Mon, 25 Nov 2024 13:36:47 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,29.65163,-82.32483,Gainesville,US,Colocasia Esculenta,Colocasia esculenta,https://perenual.com/storage/species_image/2015_colocasia_esculenta/og/24325097844_14719030a3_b.jpg,13.096326969735768,36.14906776105362,2024-11-26 09:09:07,"Mon, 25 Nov 2024 14:17:54 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,36.08497,9.37082,Siliana,TN,Cuphea ‘David Verity’,None,None,9.958246975291793,31.551929152941184,2024-11-26 09:09:08,"Mon, 25 Nov 2024 13:45:31 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,40.93121,-73.89875,Yonkers,US,Euphorbia Cotinifolia,Euphorbia cotinifolia,https://perenual.com/storage/species_image/2868_euphorbia_cotinifolia/og/51952243235_061102bd05_b.jpg,13.263705623355422,0.7022288528571465,2024-11-26 09:09:08,"Mon, 25 Nov 2024 13:50:40 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,-7.51611,109.05389,Wangon,ID,Ipomoea Batatas,Ipomoea batatas,https://perenual.com/storage/image/upgrade_access.jpg,9.743580187420893,33.27847848302618,2024-11-26 09:09:09,"Mon, 25 Nov 2024 14:02:40 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,51.30001,13.10984,Oschatz,DE,Manihot Esculenta ‘Variegata’,None,None,8.991799106874916,34.78525776407767,2024-11-26 09:09:10,"Mon, 25 Nov 2024 14:29:39 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,-21.44236,27.46153,Tonota,BW,Musa Basjoo,Musa basjoo,https://perenual.com/storage/image/upgrade_access.jpg,13.845124907396173,33.75430111183597,2024-11-26 09:09:11,"Mon, 25 Nov 2024 13:24:30 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,41.15612,1.10687,Reus,ES,Salvia Splendens,Salvia splendens,https://perenual.com/storage/image/upgrade_access.jpg,8.56510580535571,35.50461152981427,2024-11-26 09:09:12,"Mon, 25 Nov 2024 14:49:34 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,-29.2975,-51.50361,Carlos Barbosa,BR,Anthurium,Anthurium andraeanum,https://perenual.com/storage/species_image/855_anthurium_andraeanum/og/49388458462_0ef650db39_b.jpg,10.991630131044241,35.88339599525166,2024-11-26 09:09:13,"Mon, 25 Nov 2024 14:23:59 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,48.35693,10.98461,Friedberg,DE,Bird of Paradise,Heliconia schiedeana 'Fire and Ice',https://perenual.com/storage/image/upgrade_access.jpg,9.525448768062493,29.484198708576997,2024-11-26 09:09:15,"Mon, 25 Nov 2024 13:03:26 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,52.53048,13.29371,Charlottenburg-Nord,DE,Cordyline Fruticosa,Cordyline fruticosa,https://perenual.com/storage/species_image/2045_cordyline_fruticosa/og/2560px-Cordyline_fruticosa_Rubra_1.jpg,11.381469563219802,37.09357635892514,2024-11-26 09:09:15,"Mon, 25 Nov 2024 14:56:47 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,43.82634,144.09638,Motomachi,JP,Ficus,Ficus carica,https://perenual.com/storage/species_image/288_ficus_carica/og/52377169610_b7a247a378_b.jpg,13.038071114338894,34.01365490348259,2024-11-26 09:09:16,"Mon, 25 Nov 2024 14:44:00 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,11.8659,34.3869,Ar Ruseris,SD,Palm Trees,None,None,11.572294430622652,34.93254634307257,2024-11-26 09:09:17,"Mon, 25 Nov 2024 13:58:41 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,36.06386,4.62744,El Achir,DZ,Dieffenbachia Seguine,Dieffenbachia seguine,https://perenual.com/storage/species_image/2468_dieffenbachia_seguine/og/24449059743_2aee995991_b.jpg,14.135313831782764,37.846202994480215,2024-11-26 09:09:19,"Mon, 25 Nov 2024 14:23:18 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,51.67822,33.9162,Hlukhiv,UA,Spathiphyllum,Spathiphyllum (group),https://perenual.com/storage/image/upgrade_access.jpg,10.737644229524076,37.597242600571974,2024-11-26 09:09:20,"Mon, 25 Nov 2024 14:58:20 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,43.91452,-69.96533,Brunswick,US,Croton,Codiaeum variegatum,https://perenual.com/storage/species_image/1999_codiaeum_variegatum/og/29041866364_2c535b2297_b.jpg,12.395302713088864,33.32772516483517,2024-11-26 09:09:20,"Mon, 25 Nov 2024 14:37:02 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,34.75856,136.13108,Ueno-ebisumachi,JP,Aloe Vera,Aloe vera,https://perenual.com/storage/species_image/728_aloe_vera/og/52619084582_6ebcfe6a74_b.jpg,10.80145480721012,32.761386706267544,2024-11-26 09:09:22,"Mon, 25 Nov 2024 13:11:24 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,30.75545,20.22625,Ajdabiya,LY,Ficus Elastica,Ficus elastica,https://perenual.com/storage/species_image/2961_ficus_elastica/og/533092219_8da73ba0d2_b.jpg,14.489451215579734,36.2400830441989,2024-11-26 09:09:22,"Mon, 25 Nov 2024 13:55:19 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,23.29549,113.82465,Licheng,CN,Sansevieria Trifasciata,Sansevieria trifasciata,https://perenual.com/storage/image/upgrade_access.jpg,13.338184040163453,30.557453516346158,2024-11-26 09:09:23,"Mon, 25 Nov 2024 13:05:43 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,52.47774,10.5511,Gifhorn,DE,Philodendron Hederaceum,Philodendron hederaceum,https://perenual.com/storage/image/upgrade_access.jpg,10.590855271944841,33.23005486381709,2024-11-26 09:09:24,"Mon, 25 Nov 2024 14:29:54 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,41.15612,1.10687,Reus,ES,Aglaonema Commutatum,Aglaonema commutatum,https://perenual.com/storage/species_image/625_aglaonema_commutatum/og/24798632751_3a039ecbc6_b.jpg,13.384968905416002,31.861539866471745,2024-11-26 09:09:25,"Mon, 25 Nov 2024 13:44:15 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,-32.45242,-71.23106,La Ligua,CL,Monstera Deliciosa,Monstera deliciosa,https://perenual.com/storage/image/upgrade_access.jpg,12.88833169965116,30.30559565350444,2024-11-26 09:09:26,"Mon, 25 Nov 2024 13:32:46 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,32.54044,-82.90375,Dublin,US,Tacca Integrifolia,Tacca integrifolia,https://perenual.com/storage/image/upgrade_access.jpg,12.27160683495754,35.740689796052635,2024-11-26 09:09:26,"Mon, 25 Nov 2024 14:09:55 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,30.21121,74.4818,Malaut,IN,Psychopsis Papilio,None,None,24.025375573011026,35.67125731714286,2024-11-26 09:09:28,"Mon, 25 Nov 2024 14:23:43 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,-6.8,39.25,Magomeni,TZ,Saintpaulia Ionantha,Saintpaulia ionantha,https://perenual.com/storage/image/upgrade_access.jpg,11.049516427510756,35.06634200837209,2024-11-26 09:09:29,"Mon, 25 Nov 2024 13:46:06 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,36.24624,139.07204,Fujioka,JP,Gaillardia,Gaillardia aestivalis,https://perenual.com/storage/image/upgrade_access.jpg,13.373955162620454,32.46962844577115,2024-11-26 09:09:31,"Mon, 25 Nov 2024 14:18:23 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,44.92801,4.8951,Valence,FR,Amaryllis,Hippeastrum (group),https://perenual.com/storage/image/upgrade_access.jpg,9.051587723276157,36.56766654343809,2024-11-26 09:09:31,"Mon, 25 Nov 2024 14:05:38 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,22.4711,88.1453,Pujali,IN,Caladium Bicolor,Caladium bicolor,https://perenual.com/storage/species_image/1457_caladium_bicolor/og/25575875658_d782fb76f1_b.jpg,11.717453923043404,34.833023257462685,2024-11-26 09:09:31,"Mon, 25 Nov 2024 13:45:13 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,41.57439,24.71204,Smolyan,BG,Chlorophytum Comosum,Chlorophytum comosum 'Vittatum',https://perenual.com/storage/species_image/1847_chlorophytum_comosum_vittatum/og/2560px-Chlorophytum_comosum_27Vittatum27_kz02.jpg,9.841879067582477,36.303309092664094,2024-11-26 09:09:32,"Mon, 25 Nov 2024 14:49:43 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,20.22816,-103.5687,Zacoalco de Torres,MX,Araucaria Heterophylla,Araucaria heterophylla,https://perenual.com/storage/species_image/917_araucaria_heterophylla/og/49833684212_2aff9d7b3c_b.jpg,9.540464188643528,32.68450523260249,2024-11-26 09:09:33,"Mon, 25 Nov 2024 13:32:40 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,33.95015,-118.03917,South Whittier,US,Begonia,Begonia 'Art Hodes',None,8.968570655798558,33.547627136363644,2024-11-26 09:09:34,"Mon, 25 Nov 2024 14:04:23 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,-13.7804,34.4587,Salima,MW,Medinilla Magnifica,Medinilla magnifica,https://perenual.com/storage/image/upgrade_access.jpg,13.288680852596213,37.18531383701657,2024-11-26 09:09:35,"Mon, 25 Nov 2024 14:12:39 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,37.49223,15.07041,Catania,IT,Calliandra Haematocephala,Calliandra haematocephala,https://perenual.com/storage/species_image/1477_calliandra_haematocephala/og/52063600268_834ebc0538_b.jpg,13.32643222871992,-1.08411359714286,2024-11-26 09:09:36,"Mon, 25 Nov 2024 13:30:18 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,14.14989,121.3152,Calauan,PH,Zamioculcas Zamiifolia,Zamioculcas zamiifolia,https://perenual.com/storage/image/upgrade_access.jpg,14.878464323084312,34.463350951171876,2024-11-26 09:09:38,"Mon, 25 Nov 2024 14:31:09 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,17.94979,-94.91386,Acayucan,MX,Crassula Ovata,Crassula ovata,https://perenual.com/storage/species_image/2193_crassula_ovata/og/33253726791_980c738a1e_b.jpg,9.354218607628031,33.09518671622935,2024-11-26 09:09:40,"Mon, 25 Nov 2024 14:02:15 GMT"
